230 3,19444444444445 41,4464356815573
231 3,20833333333333 41,4795562462835
232 3,22222222222222 41,5124028333592
233 3,23611111111111 41,5449777152535
234 3,25 41,5772831394081
235 3,26388888888889 41,6093213286112
236 3,27777777777778 41,6410944813649
237 3,29166666666667 41,6726047722459
238 3,30555555555556 41,7038543522575
239 3,31944444444444 41,7348453491778
240 3,33333333333333 41,7655798678991
241 3,34722222222222 41,7960599907614
242 3,36111111111111 41,8262877778806
243 3,375 41,8562652674694
244 3,38888888888889 41,8859944761535
245 3,40277777777778 41,9154773992807
246 3,41666666666667 41,944716011225
247 3,43055555555556 41,9737122656853
248 3,44444444444444 42,0024680959782
249 3,45833333333333 42,0309854153262
250 3,47222222222222 42,0592661171395
251 3,48611111111111 42,0873120752941
252 3,5 42,1151251444037
253 3,51388888888889 42,1427071600879
254 3,52777777777778 42,1700599392347
255 3,54166666666667 42,1971852802588
256 3,55555555555556 42,2240849633551
257 3,56944444444444 42,2507607507483
258 3,58333333333333 42,2772143869371
259 3,59722222222222 42,3034475989358
260 3,61111111111111 42,3294620965092
261 3,625 42,3552595724066
262 3,63888888888889 42,3808417025888
263 3,65277777777778 42,4062101464529
264 3,66666666666667 42,4313665470533
265 3,68055555555556 42,4563125313178
266 3,69444444444444 42,4810497102613
267 3,70833333333333 42,5055796791948
268 3,72222222222222 42,5299040179317
269 3,73611111111111 42,5540242909904
270 3,75 42,5779420477932
271 3,76388888888889 42,6016588228624
272 3,77777777777778 42,6251761360126
273 3,79166666666667 42,6484954925403
274 3,80555555555555 42,67161838341
275 3,81944444444444 42,6945462854379
276 3,83333333333333 42,7172806614712
277 3,84722222222222 42,7398229605663
278 3,86111111111111 42,7621746181631
279 3,875 42,7843370562558
280 3,88888888888889 42,8063116835627
281 3,90277777777778 42,8280998956918
282 3,91666666666667 42,8497030753043
283 3,93055555555556 42,8711225922754
284 3,94444444444444 42,8923598038531
285 3,95833333333333 42,9134160548131
286 3,97222222222222 42,9342926776129
287 3,98611111111111 42,9549909925424
288 4 42,9755123078725
289 4,01388888888889 42,9958579200012
290 4,02777777777778 43,016029113598
291 4,04166666666667 43,0360271617449
292 4,05555555555556 43,0558533260768
293 4,06944444444444 43,075508856918
294 4,08333333333333 43,0949949934181
295 4,09722222222222 43,1143129636852
296 4,11111111111111 43,1334639849167
297 4,125 43,1524492635288
298 4,13888888888889 43,1712699952837
299 4,15277777777778 43,1899273654146
300 4,16666666666667 43,2084225487496
301 4,18055555555556 43,226756709833
302 4,19444444444444 43,2449310030452
303 4,20833333333333 43,2629465727202
304 4,22222222222222 43,2808045532627
305 4,23611111111111 43,2985060692617
306 4,25 43,3160522356042
307 4,26388888888889 43,3334441575854
308 4,27777777777778 43,350682931019
309 4,29166666666667 43,367769642345
310 4,30555555555556 43,3847053687357
311 4,31944444444444 43,4014911782003
312 4,33333333333333 43,4181281296899
313 4,34722222222222 43,4346172731967
314 4,36111111111111 43,4509596498566
315 4,375 43,4671562920467
316 4,38888888888889 43,4832082234837
317 4,40277777777778 43,4991164593194
318 4,41666666666667 43,5148820062359
319 4,43055555555556 43,5305058625385
320 4,44444444444444 43,5459890182483
321 4,45833333333333 43,5613324551928
322 4,47222222222222 43,5765371470953
323 4,48611111111111 43,5916040596634
324 4,5 43,6065341506758
325 4,51388888888889 43,6213283700686
326 4,52777777777778 43,6359876600193
327 4,54166666666667 43,6505129550307
328 4,55555555555556 43,664905182013
329 4,56944444444444 43,6791652603657
330 4,58333333333333 43,6932941020566
331 4,59722222222222 43,7072926117015
332 4,61111111111111 43,7211616866421
333 4,625 43,7349022170226
334 4,63888888888889 43,7485150858658
335 4,65277777777778 43,7620011691479
336 4,66666666666667 43,775361335872
337 4,68055555555556 43,7885964481413
338 4,69444444444444 43,8017073612308
339 4,70833333333333 43,8146949236579
340 4,72222222222222 43,8275599772533
341 4,73611111111111 43,8403033572287
342 4,75 43,852925892246
343 4,76388888888889 43,8654284044839
344 4,77777777777778 43,8778117097045
345 4,79166666666667 43,8900766173185
346 4,80555555555556 43,9022239304509
347 4,81944444444444 43,9142544460029
348 4,83333333333333 43,9261689547164
349 4,84722222222222 43,9379682412355
350 4,86111111111111 43,949653084168
351 4,875 43,9612242561461
