219 0,73 31,375844765749
220 0,733333333333333 31,3453199229892
221 0,736666666666667 31,3149264743795
222 0,74 31,2846616517944
223 0,743333333333333 31,2545227610714
224 0,746666666666667 31,2245071797757
225 0,75 31,1946123550408
226 0,753333333333333 31,1648358014815
227 0,756666666666667 31,1351750991769
228 0,76 31,1056278917212
229 0,763333333333333 31,0761918843392
230 0,766666666666667 31,0468648420643
231 0,77 31,0176445879767
232 0,773333333333333 30,9885290014997
233 0,776666666666667 30,9595160167518
234 0,78 30,9306036209528
235 0,783333333333333 30,9017898528815
236 0,786666666666667 30,8730728013838
237 0,79 30,8444506039288
238 0,793333333333333 30,8159214452112
239 0,796666666666667 30,787483555799
240 0,8 30,759135210824
241 0,803333333333333 30,7308747287142
242 0,806666666666667 30,7027004699665
243 0,81 30,674610835958
244 0,813333333333333 30,646604267795
245 0,816666666666667 30,6186792451976
246 0,82 30,5908342854202
247 0,823333333333333 30,5630679422044
248 0,826666666666667 30,5353788047658
249 0,83 30,5077654968107
250 0,833333333333333 30,4802266755842
251 0,836666666666667 30,4527610309475
252 0,84 30,4253672844828
253 0,843333333333333 30,398044188626
254 0,846666666666667 30,3707905258262
255 0,85 30,3436051077295
256 0,853333333333333 30,3164867743889
257 0,856666666666667 30,2894343934968
258 0,86 30,2624468596414
259 0,863333333333333 30,2355230935849
260 0,866666666666667 30,2086620415632
261 0,87 30,1818626746068
262 0,873333333333333 30,1551239878815
263 0,876666666666667 30,1284450000485
264 0,88 30,1018247526439
265 0,883333333333333 30,0752623094755
266 0,886666666666667 30,0487567560383
267 0,89 30,0223071989461
268 0,893333333333333 29,9959127653804
269 0,896666666666667 29,9695726025543
270 0,9 29,9432858771933
271 0,903333333333333 29,9170517750297
272 0,906666666666667 29,8908695003123
273 0,91 29,8647382753295
274 0,913333333333333 29,8386573399471
275 0,916666666666667 29,8126259511578
276 0,92 29,7866433826448
277 0,923333333333333 29,760708924357
278 0,926666666666667 29,7348218820959
279 0,93 29,7089815771153
280 0,933333333333333 29,683187345731
281 0,936666666666667 29,6574385389417
282 0,94 29,6317345220611
283 0,943333333333333 29,6060746743595
284 0,946666666666667 29,5804583887154
285 0,95 29,5548850712772
286 0,953333333333333 29,5293541411337
287 0,956666666666667 29,5038650299937
288 0,96 29,478417181875
289 0,963333333333333 29,4530100528008
290 0,966666666666667 29,4276431105054
291 0,97 29,4023158341471
292 0,973333333333333 29,3770277140297
293 0,976666666666667 29,3517782513302
294 0,98 29,3265669578356
295 0,983333333333333 29,3013933556853
296 0,986666666666667 29,2762569771208
297 0,99 29,2511573642424
298 0,993333333333333 29,2260940687722
299 0,996666666666667 29,2010666518233
300 1 29,176074683675
301 1,00333333333333 29,1511177435543
302 1,00666666666667 29,1261954194228
303 1,01 29,1013073077695
304 1,01333333333333 29,0764530134085
305 1,01666666666667 29,0516321492829
306 1,02 29,0268443362727
307 1,02333333333333 29,0020892030085
308 1,02666666666667 28,9773663856899
309 1,03 28,9526755279081
